Country_Region,Province_State,Last Update Date,Last Update Time,Confirmed,Deaths,Recovered
US,Kansas,3/25/2020,19:33,0,0,0
US,Alabama,3/25/2020,19:33,0,0,0
US,West Virginia,3/25/2020,19:33,0,0,0
US,North Dakota,3/25/2020,19:33,0,0,0
US,Massachusetts,3/25/2020,19:33,51,1,0
US,South Carolina,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Wisconsin,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,2,0,0
US,Michigan,3/25/2020,19:33,1,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,Indiana,3/25/2020,19:33,5,0,0
US,Kansas,3/25/2020,19:33,0,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,78,1,0
US,Texas,3/25/2020,19:33,1,0,0
US,Missouri,3/25/2020,19:33,1,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Arkansas,3/25/2020,19:33,0,0,0
US,Florida,3/25/2020,19:33,1,0,0
US,Michigan,3/25/2020,19:33,3,0,0
US,Wisconsin,3/25/2020,19:33,1,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,South Dakota,3/25/2020,19:33,13,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,North Carolina,3/25/2020,19:33,3,0,0
US,South Carolina,3/25/2020,19:33,26,0,0
US,Louisiana,3/25/2020,19:33,3,0,0
US,Oklahoma,3/25/2020,19:33,0,0,0
US,Pennsylvania,3/25/2020,19:33,7,0,0
US,Utah,3/25/2020,19:33,0,0,0
US,Montana,3/25/2020,19:33,0,0,0
US,Minnesota,3/25/2020,19:33,0,0,0
US,Oklahoma,3/25/2020,19:33,0,0,0
US,Pennsylvania,3/25/2020,19:33,0,0,0
US,Tennessee,3/25/2020,19:33,1,0,0
US,Virginia,3/25/2020,19:33,3,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,New Hampshire,3/25/2020,19:33,7,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,19,0,0
